# Cycle: 0, status: ACC, move: ('ld', 0, 0, 0)
#     Time       Orderp
# Cycle: 156, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 157, status: ACC, move: ('sh', 0.10863240768757731, 6, 5)
#     Time       Orderp
         0     0.108411
         1     0.108631
         2     0.109673
         3     0.109865
         4     0.109144
         5     0.108632
         6     0.108692
         7     0.108499
# Cycle: 158, status: ACC, move: ('s+', 0.10936178491593838, 4, 1)
#     Time       Orderp
         0     0.107740
         1     0.109362
         2     0.108561
         3     0.109572
         4     0.108440
# Cycle: 159, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 160, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108440
         1     0.109572
         2     0.108561
         3     0.109362
         4     0.107740
# Cycle: 161, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.107740
         1     0.109362
         2     0.108561
         3     0.109572
         4     0.108440
# Cycle: 162, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 163, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108411
         1     0.108631
         2     0.109673
         3     0.109865
         4     0.109144
         5     0.108632
         6     0.108692
         7     0.108499
# Cycle: 164, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108499
         1     0.108692
         2     0.108632
         3     0.109144
         4     0.109865
         5     0.109673
         6     0.108631
         7     0.108411
# Cycle: 165, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108411
         1     0.108631
         2     0.109673
         3     0.109865
         4     0.109144
         5     0.108632
         6     0.108692
         7     0.108499
# Cycle: 166, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108499
         1     0.108692
         2     0.108632
         3     0.109144
         4     0.109865
         5     0.109673
         6     0.108631
         7     0.108411
# Cycle: 167, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108440
         1     0.109572
         2     0.108561
         3     0.109362
         4     0.107740
# Cycle: 168, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 169, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.107740
         1     0.109362
         2     0.108561
         3     0.109572
         4     0.108440
# Cycle: 170, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108372
         1     0.109231
         2     0.109731
         3     0.108204
# Cycle: 171, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.107740
         1     0.109362
         2     0.108561
