# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time       Orderp
         0     0.108154
         1     0.111310
         2     0.107924
# Cycle: 91, status: ACC, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.108067
         1     0.111215
         2     0.110219
         3     0.108754
         4     0.109330
         5     0.108646
         6     0.109172
         7     0.109252
         8     0.108256
# Cycle: 92, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108256
         1     0.109252
         2     0.109172
         3     0.108646
         4     0.109330
         5     0.108754
         6     0.110219
         7     0.111215
         8     0.108067
# Cycle: 93, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108067
         1     0.111215
         2     0.110219
         3     0.108754
         4     0.109330
         5     0.108646
         6     0.109172
         7     0.109252
         8     0.108256
# Cycle: 94, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108256
         1     0.109252
         2     0.109172
         3     0.108646
         4     0.109330
         5     0.108754
         6     0.110219
         7     0.111215
         8     0.108067
# Cycle: 95, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108067
         1     0.111215
         2     0.110219
         3     0.108754
         4     0.109330
         5     0.108646
         6     0.109172
         7     0.109252
         8     0.108256
# Cycle: 96, status: NCR, move: ('sh', 0.10955363982999387, 2, 3)
#     Time       Orderp
         0     0.108405
         1     0.109535
         2     0.108703
         3     0.109554
         4     0.109430
         5     0.109921
         6     0.107935
# Cycle: 97, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.107954
         1     0.108836
         2     0.108639
         3     0.111432
         4     0.108616
         5     0.111548
         6     0.108485
# Cycle: 98, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108256
         1     0.109252
         2     0.109172
         3     0.108646
         4     0.109330
         5     0.108754
         6     0.110219
         7     0.111215
         8     0.108067
# Cycle: 99, status: NCR, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.107869
         1     0.109492
         2     0.111167
         3     0.109554
         4     0.108732
         5     0.108830
         6     0.108092
# Cycle: 100, status: NCR, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.107869
         1     0.109492
         2     0.111167
         3     0.109554
         4     0.108732
         5     0.108830
         6     0.108092
# Cycle: 101, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108485
         1     0.111548
         2     0.108616
         3     0.111432
         4     0.108639
         5     0.108836
         6     0.107954
# Cycle: 102, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108485
         1     0.111548
         2     0.108616
         3     0.111432
         4     0.108639
         5     0.108836
         6     0.107954
# Cycle: 103, status: NCR, move: ('sh', 0.10932977636490435, 4, 4)
#     Time       Orderp
         0     0.108233
         1     0.109564
         2     0.110116
         3     0.109449
         4     0.109330
         5     0.107877
# Cycle: 104, status: NCR, move: ('s-', 0.1111665417290648, 2, 2)
#     Time       Orderp
         0     0.108329
         1     0.109047
         2     0.111167
         3     0.108563
         4     0.108458
# Cycle: 105, status: NCR, move: ('s-', 0.1111665417290648, 2, 2)
#     Time       Orderp
         0     0.108329
         1     0.109047
         2     0.111167
         3     0.108563
         4     0.108458
# Cycle: 106, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108067
         1     0.111215
         2     0.110219
         3     0.108754
         4     0.109330
         5     0.108646
         6     0.109172
         7     0.109252
         8     0.108256
# Cycle: 107, status: NCR, move: ('s-', 0, 0, 0)
