# Cycle: 0, status: ACC, move: ('ld', 0, 0, 0)
#     Time      Potential        Kinetic
#     Time      Potential        Kinetic
         0  -44076.859375   10182.649414
         1  -43705.218750   12810.866211
         2  -44011.847656   10113.902344
# Cycle: 57, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44083.675781   10165.201172
         1  -44102.660156    9803.888672
         2  -44095.152344   10032.191406
         3  -44245.691406   10039.279297
         4  -43820.160156    9921.916016
         5  -43936.652344   10121.115234
         6  -43871.980469   10490.960938
         7  -43450.640625   12783.872070
         8  -44104.222656   10236.699219
# Cycle: 58, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44104.222656   10236.699219
         1  -43450.640625   12783.872070
         2  -43871.980469   10490.960938
         3  -43936.652344   10121.115234
         4  -43820.160156    9921.916016
         5  -44245.691406   10039.279297
         6  -44095.152344   10032.191406
         7  -44102.660156    9803.888672
         8  -44083.675781   10165.201172
# Cycle: 59, status: ACC, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44485.457031    9835.107422
         1  -43991.671875   12829.145508
         2  -44341.542969   10027.197266
# Cycle: 60, status: BTL, move: ('sh', 0.11000909053346462, 1, 0)
#     Time      Potential        Kinetic
         0  -43991.671875   12951.929688
         1  -44107.207031    9882.890625
# Cycle: 61, status: ACC, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44104.222656   10236.699219
         1  -43450.640625   12783.872070
         2  -43871.980469   10490.960938
         3  -43936.652344   10121.115234
         4  -43820.160156    9921.916016
         5  -44245.691406   10039.279297
         6  -44095.152344   10032.191406
         7  -44102.660156    9803.888672
         8  -44083.675781   10165.201172
# Cycle: 62, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44083.675781   10165.201172
         1  -44102.660156    9803.888672
         2  -44095.152344   10032.191406
         3  -44245.691406   10039.279297
         4  -43820.160156    9921.916016
         5  -43936.652344   10121.115234
         6  -43871.980469   10490.960938
         7  -43450.640625   12783.872070
         8  -44104.222656   10236.699219
# Cycle: 63, status: NCR, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44230.835938   10034.909180
         1  -43819.671875   10236.889648
         2  -43411.515625   12730.025391
         3  -43670.953125   10365.113281
# Cycle: 64, status: NCR, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44230.835938   10034.909180
         1  -43819.671875   10236.889648
         2  -43411.515625   12730.025391
         3  -43670.953125   10365.113281
# Cycle: 65, status: NCR, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44230.835938   10034.909180
         1  -43819.671875   10236.889648
         2  -43411.515625   12730.025391
         3  -43670.953125   10365.113281
# Cycle: 66, status: NCR, move: ('sh', 0.10900458705944432, 6, 1)
#     Time      Potential        Kinetic
         0  -44135.132812    9836.051758
         1  -43705.218750   12903.966797
         2  -44229.316406   10356.416016
# Cycle: 67, status: ACC, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44341.542969   10027.197266
         1  -43991.671875   12829.145508
         2  -44485.457031    9835.107422
# Cycle: 68, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44485.457031    9835.107422
         1  -43991.671875   12829.145508
         2  -44341.542969   10027.197266
# Cycle: 69, status: BTL, move: ('sh', 0.11000909053346462, 1, 0)
#     Time      Potential        Kinetic
         0  -43991.671875   12969.802734
         1  -44587.300781    9981.329102
# Cycle: 70, status: BTL, move: ('sh', 0.11000909053346462, 1, 0)
#     Time      Potential        Kinetic
         0  -43991.671875   12935.773438
         1  -43856.316406   10354.000000
         2  -44136.113281   10072.707031
         3  -44135.273438   10185.541992
# Cycle: 71, status: BTL, move: ('sh', 0.11000909053346462, 1, 0)
#     Time      Potential        Kinetic
         0  -43991.671875   12877.445312
         1  -44268.062500    9687.820312
# Cycle: 72, status: BTL, move: ('sh', 0.11000909053346462, 1, 0)
#     Time      Potential        Kinetic
         0  -43991.671875   13012.526367
         1  -44430.496094   10010.578125
         2  -44288.324219   10182.800781
         3  -44196.468750   10083.808594
# Cycle: 73, status: NCR, move: ('s-', 0.10936178491593838, 4, 1)
