#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
1090000,2179.9999999622737,-46247.835928677814,6176.730055863678,-40071.105872814136,279.6498664716406,26.39099225485837,1.0043509008352947
1095000,2189.9999999620372,-46661.54275840672,6039.921366165195,-40621.621392241526,273.45588819181904,26.446109099899363,1.0022577137899333
1100000,2199.9999999618008,-46678.57929701306,6061.795289569505,-40616.78400744355,274.4462244545183,26.29510284614277,1.0080134312535092
1105000,2209.9999999615643,-46809.28201501217,6256.485105738771,-40552.7969092734,283.2607558655904,26.175577691948956,1.0126163081113928
1110000,2219.999999961328,-46927.78437984915,6249.877052082318,-40677.907327766836,282.96157793390955,26.412027447843474,1.0035510108963055
1115000,2229.9999999610914,-46529.45727147901,6139.605733355842,-40389.85153812317,277.9690723073707,26.30231175625941,1.007737155985783
1120000,2239.999999960855,-46620.78846580675,6084.609201811749,-40536.179263995,275.479118470371,26.415130888576773,1.0034331064612187
1125000,2249.9999999606184,-46585.863833865325,6301.61879416513,-40284.245039700196,285.30417201420806,26.549359290958993,0.9983599436288644
1130000,2259.999999960382,-46614.10127674742,6257.42500442044,-40356.67627232698,283.30330953694215,27.08741370076513,0.9785288893917393
1135000,2269.9999999601455,-46469.65995198634,6054.6905760965765,-40414.96937588976,274.1245603772388,26.470936954645573,1.0013176673919202
1140000,2279.999999959909,-46542.314119027986,6036.969472802999,-40505.344646224985,273.3222419781897,26.543478034059234,0.9985811509363384
1145000,2289.9999999596726,-46013.158154489705,6173.192560333357,-39839.96559415635,279.48970727029115,26.820871280054718,0.988253385519779
1150000,2299.999999959436,-46653.58461016684,6169.538897427609,-40484.04571273924,279.3242886208628,26.422771955308615,1.003142928756155
1155000,2309.9999999591996,-46550.86347926193,6180.127096933995,-40370.73638232793,279.8036666333963,26.538908872159784,0.9987530750712134
1160000,2319.999999958963,-46625.7277654162,6259.7689124043445,-40365.958853011856,283.40942936876127,26.539150123051463,0.9987439960287868
1165000,2329.9999999587267,-46582.45633209532,6188.214480737223,-40394.24185135809,280.1698208574312,26.56174619119531,0.9978943648625945
1170000,2339.99999995849,-47009.93577724823,6219.092328684994,-40790.84344856324,281.5678074907192,26.68973868292345,0.9931088932715237
1175000,2349.9999999582537,-46705.3260013258,6181.035519606795,-40524.290481719,279.8447952365327,26.482280335949344,1.0008887644438607
1180000,2359.9999999580173,-46644.70944773068,6114.79067519166,-40529.91877253902,276.8455769239984,26.32217355644392,1.0069767524428241
1185000,2369.999999957781,-46781.42827287479,6160.628411984693,-40620.799860890096,278.92086868154666,26.528504303179805,0.9991447894002528
1190000,2379.9999999575443,-46783.168820982275,6292.996414409935,-40490.17240657234,284.91379598588884,26.683629013927863,0.9933362823800778
1195000,2389.999999957308,-46925.399855850206,5983.034620309532,-40942.365235540674,270.88035538746084,26.545935367014057,0.9984887131926186
1200000,2399.9999999570714,-46876.733478391485,6162.048755533953,-40714.684722857535,278.9851743708518,26.159404732737475,1.013242354553018
1205000,2409.999999956835,-46892.49817495671,6224.458922574082,-40668.03925238263,281.8107786503648,26.51940604419104,0.9994875752849023
1210000,2419.9999999565985,-46816.225232612225,6066.776962692855,-40749.44826991937,274.67176842538163,26.68163047042791,0.9934106865950909
1215000,2429.999999956362,-46789.93888210703,6175.768514848196,-40614.170367258834,279.60633294918546,26.370257584458866,1.0051406119265711
1220000,2439.9999999561255,-46640.80114835221,6025.85811146947,-40614.943036882745,272.81917794833305,26.418836792899903,1.00329234980655
1225000,2449.999999955889,-46536.961387154006,6067.438927939341,-40469.52245921466,274.7017387318568,26.365544897789714,1.0053202749216203
1230000,2459.9999999556526,-46569.34648799646,6208.9207271513205,-40360.42576084514,281.1072908443759,26.746272749871558,0.9910097415435791
1235000,2469.999999955416,-46470.96033827227,6013.772330908176,-40457.18800736409,272.27199733826853,26.251254998102812,1.0096971305569913
1240000,2479.9999999551796,-46561.56371477252,6080.742232259953,-40480.82148251257,275.30404241734146,26.41628244054326,1.0033893642969083
1245000,2489.999999954943,-46369.87511760299,5968.618030079049,-40401.25708752394,270.2276479684109,26.16266485250144,1.0131160948067581
1250000,2499.9999999547067,-46282.472223379766,6099.145426551662,-40183.3267968281,276.1372423111012,26.612031969928776,0.9960087555529576
1255000,2509.9999999544702,-46802.15375100623,6247.083014188356,-40555.07073681788,282.8350785860513,26.966687177609824,0.9829096422015012
1260000,2519.9999999542338,-46912.651621810335,5905.553000439591,-41007.098621370744,267.3723949529481,26.235708644097375,1.0102954414028256
1265000,2529.9999999539973,-46734.137214822054,6102.52379996493,-40631.61341485712,276.2901972994797,26.343997766259253,1.006142540713858
1270000,2539.999999953761,-46746.74558502389,6245.507034169055,-40501.23855085483,282.76372649554816,26.072785109388704,1.0166085722679334
1275000,2549.9999999535244,-46902.750156517955,6080.006281509028,-40822.74387500893,275.27072243615976,26.44642901151152,1.002245589889165
1280000,2559.999999953288,-46553.39331282,6030.582013808907,-40522.8112990111,273.0330514131762,26.518817217257233,0.9995097680244771
1285000,2569.9999999530514,-46859.7991084978,6250.039323072746,-40609.75978542505,282.96892471131355,26.341420696514124,1.0062409750212111
1290000,2579.999999952815,-46752.11015864799,6325.125497344474,-40426.98466130352,286.36843196175937,26.43370060846281,1.002728192987795
1295000,2589.9999999525785,-46865.43482743332,6071.870089065003,-40793.56473836831,274.9023584134518,26.59028424991637,0.9968233733788555
1300000,2599.999999952342,-46858.93791084684,6098.401011781176,-40760.536899065664,276.10353912360824,26.106941629802115,1.0152785117827374
1305000,2609.9999999521056,-46774.16457421752,6178.873479470991,-40595.29109474653,279.7469094248143,26.35058532828212,1.0058910082978518
