# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44602.378906   10047.215820
         1  -44382.222656   10110.564453
         2  -44152.632812   10170.810547
         3  -44256.503906   12948.323242
         4  -44832.761719    9894.311523
         5  -44583.667969   10301.274414
         6  -44455.800781   10095.806641
# Cycle: 40, status: FTL, move: ('sh', 0.11080613701415627, 6, 6)
#     Time      Potential        Kinetic
         0  -44335.929688   10042.285156
         1  -44438.355469   10320.640625
         2  -44314.312500   10084.188477
         3  -44125.199219   10570.478516
         4  -44270.832031   10179.558594
         5  -44699.320312    9621.181641
         6  -44208.625000   13028.144531
         7  -44285.121094   10148.703125
         8  -44544.035156    9869.364258
# Cycle: 41, status: NCR, move: ('sh', 0.10954907576059239, 1, 3)
#     Time      Potential        Kinetic
         0  -44227.453125   10317.068359
         1  -44223.546875   10152.895508
         2  -44530.199219    9756.572266
         3  -44256.503906   12957.591797
         4  -44473.750000    9910.056641
         5  -44497.238281   10308.689453
         6  -44323.578125    9804.656250
# Cycle: 42, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44090.503906   10130.635742
         1  -44208.625000   12921.491211
         2  -44618.640625    9974.869141
         3  -44333.109375    9957.023438
         4  -44176.582031   10292.807617
         5  -44105.582031   10243.679688
         6  -44416.539062    9942.987305
         7  -44491.085938   10175.816406
# Cycle: 43, status: ACC, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44272.328125   10068.498047
         1  -44447.214844   10368.618164
         2  -44218.843750   10226.642578
         3  -44090.546875   10321.775391
         4  -43933.101562   12911.969727
         5  -44417.664062    9674.358398
         6  -44578.183594    9876.246094
         7  -44015.488281   10184.263672
         8  -44345.175781   10293.304688
         9  -44200.847656   10466.010742
        10  -44511.828125    9970.011719
        11  -44248.421875    9688.192383
# Cycle: 44, status: ACC, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44090.503906   10130.635742
         1  -44208.625000   12921.491211
         2  -44618.640625    9974.869141
         3  -44333.109375    9957.023438
         4  -44176.582031   10292.807617
         5  -44105.582031   10243.679688
         6  -44416.539062    9942.987305
         7  -44491.085938   10175.816406
# Cycle: 45, status: FTL, move: ('sh', 0.1103585066952249, 2, 1)
#     Time      Potential        Kinetic
         0  -44299.859375   10102.830078
         1  -44421.765625   12939.888672
         2  -44548.632812    9884.996094
         3  -44413.304688    9871.614258
         4  -44355.964844   10043.152344
         5  -44039.769531   10126.404297
         6  -44214.539062   10197.170898
         7  -44217.957031    9864.706055
# Cycle: 46, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44491.085938   10175.816406
         1  -44416.539062    9942.987305
         2  -44105.582031   10243.679688
         3  -44176.582031   10292.807617
         4  -44333.109375    9957.023438
         5  -44618.640625    9974.869141
         6  -44208.625000   12921.491211
         7  -44090.503906   10130.635742
# Cycle: 47, status: ACC, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43585.847656   10189.465820
         1  -44289.500000   10089.784180
         2  -44305.238281   10215.483398
         3  -44462.625000    9843.908203
         4  -44034.800781   10253.587891
         5  -43981.519531   10237.934570
         6  -43985.601562    9768.029297
         7  -43899.480469    9775.056641
         8  -43990.753906    9872.035156
         9  -43995.003906   12849.499023
        10  -43973.503906    9975.859375
        11  -44048.460938   10389.945312
# Cycle: 48, status: ACC, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44491.085938   10175.816406
         1  -44416.539062    9942.987305
         2  -44105.582031   10243.679688
         3  -44176.582031   10292.807617
         4  -44333.109375    9957.023438
         5  -44618.640625    9974.869141
         6  -44208.625000   12921.491211
         7  -44090.503906   10130.635742
# Cycle: 49, status: ACC, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43585.847656   10189.465820
         1  -44289.500000   10089.784180
         2  -44305.238281   10215.483398
         3  -44462.625000    9843.908203
         4  -44034.800781   10253.587891
         5  -43981.519531   10237.934570
         6  -43985.601562    9768.029297
         7  -43899.480469    9775.056641
         8  -43990.753906    9872.035156
         9  -43995.003906   12849.499023
        10  -43973.503906    9975.859375
        11  -44048.460938   10389.945312
