frame,file,lambda_A,w4_A,q,na,label,prob
0,001_464_trajF.trr,1.0914670675992966,7.923669517040253,0.7488241702790889,0,nonreactive,0.13
1,001_464_trajF.trr,1.0999808460474014,8.020687103271484,0.7358320695497224,0,nonreactive,0.13
2,001_464_trajF.trr,1.095746010541916,7.907783389091492,0.6491668461607843,1,nonreactive,0.13
3,001_464_trajF.trr,1.1071793735027313,7.881174087524414,0.3665459835077025,1,reactive,0.75
4,001_464_trajF.trr,1.100057065486908,8.02488625049591,0.4484269709962374,1,reactive,0.75
5,001_464_trajF.trr,1.0996036231517792,8.03552359342575,0.7689343446036713,1,nonreactive,0.13
6,001_464_trajF.trr,1.1088096350431442,8.237499296665192,0.6144302840213836,0,reactive,0.75
7,001_464_trajF.trr,1.0940517485141754,8.015291094779968,0.6088505737421043,1,nonreactive,0.13
8,001_464_trajF.trr,1.0940619558095932,8.208357095718384,0.894711141114193,0,nonreactive,0.13
9,001_464_trajF.trr,1.1071478575468063,7.982158958911896,0.5742630683212548,0,reactive,0.75
10,001_464_trajF.trr,1.0962367057800293,7.942525148391724,0.6201447711177953,0,nonreactive,0.13
11,001_464_trajF.trr,1.0957348346710205,7.966787219047546,0.8782414835468472,0,nonreactive,0.13
12,001_464_trajF.trr,1.08453668653965,8.052960932254791,0.716769711027271,1,nonreactive,0.13
0,002_621_trajB.trr,1.086876392364502,8.02961528301239,0.733072892387663,2,nonreactive,0.13
1,002_621_trajB.trr,1.0814651101827621,8.056550025939941,0.14416691508099722,1,nonreactive,0.13
0,002_622_trajF.trr,1.086876392364502,8.02961528301239,0.733072892387663,2,nonreactive,0.13
1,002_622_trajF.trr,1.0884371399879456,8.416044414043427,0.7071257535641801,0,nonreactive,0.13
2,002_622_trajF.trr,1.090911626815796,8.074164390563965,0.7371128662232005,1,nonreactive,0.13
3,002_622_trajF.trr,1.0854562371969223,8.163971602916718,0.6281812039015936,1,nonreactive,0.13
4,002_622_trajF.trr,1.086411103606224,8.08861792087555,0.6144133474161353,0,nonreactive,0.13
5,002_622_trajF.trr,1.0910896211862564,8.025752007961273,0.2495237743443801,1,nonreactive,0.13
6,002_622_trajF.trr,1.0877672582864761,8.438076674938202,0.12629795960890378,0,nonreactive,0.13
7,002_622_trajF.trr,1.0826978832483292,8.189574182033539,0.4706507963445937,0,nonreactive,0.13
0,002_760_trajB.trr,1.089816838502884,8.170019388198853,0.9042566479989149,1,nonreactive,0.13
1,002_760_trajB.trr,1.096365675330162,8.071002960205078,0.7727183244253047,0,nonreactive,0.13
2,002_760_trajB.trr,1.0835906118154526,8.194194436073303,0.3968481742515493,1,nonreactive,0.13
0,002_761_trajF.trr,1.089816838502884,8.170019388198853,0.9042566479989149,1,nonreactive,0.13
1,002_761_trajF.trr,1.0878998041152954,8.25557142496109,0.7363816539160467,2,nonreactive,0.13
2,002_761_trajF.trr,1.0878635942935944,7.924803197383881,0.7122625298434634,2,nonreactive,0.13
3,002_761_trajF.trr,1.0833832621574402,8.098020851612091,0.6093591102128673,0,nonreactive,0.13
0,001_982_trajB.trr,1.0905501991510391,7.874818742275238,0.8429137792009892,1,nonreactive,0.13
1,001_982_trajB.trr,1.0848793387413025,7.972373068332672,0.7831847553805824,0,nonreactive,0.13
0,001_983_trajF.trr,1.0905501991510391,7.874818742275238,0.8429137792009892,1,nonreactive,0.13
1,001_983_trajF.trr,1.0869520902633667,8.022029101848602,0.24600738010718115,0,nonreactive,0.13
2,001_983_trajF.trr,1.0834406316280365,8.013772964477539,0.8746995688950481,0,nonreactive,0.13
0,001_1157_trajB.trr,1.102452129125595,8.064627647399902,0.7977219456427198,1,reactive,0.75
1,001_1157_trajB.trr,1.0909239947795868,8.002148866653442,0.04641679699087509,0,nonreactive,0.13
2,001_1157_trajB.trr,1.0887160897254944,7.944198548793793,0.9116157268122101,2,nonreactive,0.13
3,001_1157_trajB.trr,1.0999677330255508,7.995352745056152,0.4924614063288154,0,nonreactive,0.13
4,001_1157_trajB.trr,1.0891363769769669,8.02492767572403,0.44117015593192654,0,nonreactive,0.13
5,001_1157_trajB.trr,1.084892749786377,8.130869567394257,0.6229624891649026,0,nonreactive,0.13
0,001_1158_trajF.trr,1.102452129125595,8.064627647399902,0.7977219456427198,1,reactive,0.75
1,001_1158_trajF.trr,1.0896702110767365,8.206436038017273,0.76444276375046,2,nonreactive,0.13
2,001_1158_trajF.trr,1.0830985754728317,8.23175698518753,0.5781346459350011,1,nonreactive,0.13
0,001_1338_trajB.trr,1.1050786077976227,7.991689741611481,0.5667647009430752,0,reactive,0.75
1,001_1338_trajB.trr,1.0890252888202667,8.29021543264389,0.6095705100857886,0,nonreactive,0.13
2,001_1338_trajB.trr,1.0950194299221039,7.927407622337341,0.7219408430090211,2,nonreactive,0.13
3,001_1338_trajB.trr,1.0899104177951813,8.494678139686584,0.8389606503481803,0,nonreactive,0.13
4,001_1338_trajB.trr,1.0925701260566711,8.042104542255402,0.7455136454067446,0,nonreactive,0.13
5,001_1338_trajB.trr,1.1012733727693558,7.825857102870941,0.4656368998380256,1,reactive,0.75
6,001_1338_trajB.trr,1.096719652414322,8.005269467830658,0.913765839971711,0,nonreactive,0.13
7,001_1338_trajB.trr,1.0958309471607208,7.996390759944916,0.6855954095520806,2,nonreactive,0.13
8,001_1338_trajB.trr,1.0818102955818176,8.108717799186707,0.6131688954706028,0,nonreactive,0.13
0,001_1339_trajF.trr,1.1050786077976227,7.991689741611481,0.5667647009430752,0,reactive,0.75
1,001_1339_trajF.trr,1.0829148441553116,8.16720336675644,0.3123361112134879,0,nonreactive,0.13
0,002_1451_trajB.trr,1.091604307293892,8.21851909160614,0.7453568764347132,1,nonreactive,0.13
1,002_1451_trajB.trr,1.0838624835014343,8.169614374637604,0.19387402860516778,2,nonreactive,0.13
0,002_1452_trajF.trr,1.091604307293892,8.21851909160614,0.7453568764347132,1,nonreactive,0.13
1,002_1452_trajF.trr,1.1035799235105515,8.129399120807648,0.6154290510369105,2,reactive,0.75
2,002_1452_trajF.trr,1.0822317749261856,8.187628090381622,0.35629341814609417,0,nonreactive,0.13
0,001_1631_trajF.trr,1.0876105725765228,8.006680309772491,0.6496442770249435,0,nonreactive,0.13
1,001_1631_trajF.trr,1.0936738550662994,7.925820052623749,0.783788754960387,0,nonreactive,0.13
2,001_1631_trajF.trr,1.0900551080703735,7.883712947368622,0.6329544198467053,0,nonreactive,0.13
3,001_1631_trajF.trr,1.0909390449523926,8.121353089809418,0.41578769009991334,0,nonreactive,0.13
4,001_1631_trajF.trr,1.1028235405683517,8.138050734996796,0.7986157293302372,1,reactive,0.75
5,001_1631_trajF.trr,1.098412349820137,8.01748812198639,0.8486464624096557,2,nonreactive,0.13
6,001_1631_trajF.trr,1.0909181088209152,8.018810451030731,0.500494822924511,3,nonreactive,0.13
